item_A_id,item_A_name,cat_A,item_B_id,item_B_name,cat_B,affinity_score,source
304,Classic Cut Bacon,Meat & Seafood,301,Boneless Skinless Chicken Breast,Meat & Seafood,0.2558,embed
304,Classic Cut Bacon,Meat & Seafood,505,Cane Sugar,Pantry Staples,0.237,embed
702,Spring Water (24-pack),Beverages,201,Whole Milk (Gallon),Dairy & Eggs,0.1391,embed
205,Unsalted Butter,Dairy & Eggs,304,Classic Cut Bacon,Meat & Seafood,0.216,embed
102,Granny Smith Apple,Fresh Produce,301,Boneless Skinless Chicken Breast,Meat & Seafood,0.1259,embed
601,Kettle-Cooked Potato Chips,Snacks,504,All-Purpose Flour,Pantry Staples,0.1873,embed
703,Pulp-Free Orange Juice,Beverages,801,Paper Towels (6 rolls),Household,0.3505,embed
703,Pulp-Free Orange Juice,Beverages,101,Organic Banana,Fresh Produce,0.344,embed
703,Pulp-Free Orange Juice,Beverages,109,Russet Potato,Fresh Produce,0.3242,embed
703,Pulp-Free Orange Juice,Beverages,301,Boneless Skinless Chicken Breast,Meat & Seafood,0.2275,embed
703,Pulp-Free Orange Juice,Beverages,505,Cane Sugar,Pantry Staples,0.218,embed
402,Sourdough Baguette,Bakery,201,Whole Milk (Gallon),Dairy & Eggs,0.1312,embed
802,Dish Soap,Household,301,Boneless Skinless Chicken Breast,Meat & Seafood,0.1177,embed
503,Extra Virgin Olive Oil,Pantry Staples,202,Sharp Cheddar Cheese (Block),Dairy & Eggs,0.2285,embed
503,Extra Virgin Olive Oil,Pantry Staples,403,Flour Tortillas (10 count),Bakery,0.2206,embed
503,Extra Virgin Olive Oil,Pantry Staples,603,Mild Salsa,Snacks,0.2018,embed
504,All-Purpose Flour,Pantry Staples,304,Classic Cut Bacon,Meat & Seafood,0.2097,embed
505,Cane Sugar,Pantry Staples,304,Classic Cut Bacon,Meat & Seafood,0.237,embed
505,Cane Sugar,Pantry Staples,703,Pulp-Free Orange Juice,Beverages,0.218,embed
110,Lemon,Fresh Produce,201,Whole Milk (Gallon),Dairy & Eggs,0.1462,embed
203,Greek Yogurt (Plain),Dairy & Eggs,801,Paper Towels (6 rolls),Household,0.1216,embed
